V	Current	
-2.67	-1.27999E-4
-2.66	-1.26759E-4
-2.65	-1.25532E-4
-2.64	-1.24316E-4
-2.63	-1.23112E-4
-2.62	-1.2192E-4
-2.61	-1.20739E-4
-2.6	-1.19569E-4
-2.59	-1.18411E-4
-2.58	-1.17264E-4
-2.57	-1.16127E-4
-2.56	-1.15002E-4
-2.55	-1.13888E-4
-2.54	-1.12784E-4
-2.53	-1.11691E-4
-2.52	-1.10608E-4
-2.51	-1.09535E-4
-2.5	-1.08473E-4
-2.49	-1.07421E-4
-2.48	-1.06379E-4
-2.47	-1.05347E-4
-2.46	-1.04325E-4
-2.45	-1.03312E-4
-2.44	-1.02309E-4
-2.43	-1.01316E-4
-2.42	-1.00332E-4
-2.41	-9.93572E-5
-2.4	-9.83917E-5
-2.39	-9.74353E-5
-2.38	-9.6488E-5
-2.37	-9.55496E-5
-2.36	-9.46201E-5
-2.35	-9.36993E-5
-2.34	-9.27871E-5
-2.33	-9.18835E-5
-2.32	-9.09885E-5
-2.31	-9.01017E-5
-2.3	-8.92233E-5
-2.29	-8.83532E-5
-2.28	-8.74911E-5
-2.27	-8.66371E-5
-2.26	-8.5791E-5
-2.25	-8.49528E-5
-2.24	-8.41224E-5
-2.23	-8.32997E-5
-2.22	-8.24847E-5
-2.21	-8.16772E-5
-2.2	-8.08772E-5
-2.19	-8.00845E-5
-2.18	-7.92992E-5
-2.17	-7.85211E-5
-2.16	-7.77502E-5
-2.15	-7.69863E-5
-2.14	-7.62295E-5
-2.13	-7.54796E-5
-2.12	-7.47366E-5
-2.11	-7.40003E-5
-2.1	-7.32708E-5
-2.09	-7.2548E-5
-2.08	-7.18317E-5
-2.07	-7.11219E-5
-2.06	-7.04186E-5
-2.05	-6.97216E-5
-2.04	-6.9031E-5
-2.03	-6.83466E-5
-2.02	-6.76684E-5
-2.01	-6.69963E-5
-2	-6.63302E-5
-1.99	-6.56701E-5
-1.98	-6.50159E-5
-1.97	-6.43676E-5
-1.96	-6.37251E-5
-1.95	-6.30883E-5
-1.94	-6.24572E-5
-1.93	-6.18317E-5
-1.92	-6.12118E-5
-1.91	-6.05974E-5
-1.9	-5.99884E-5
-1.89	-5.93847E-5
-1.88	-5.87864E-5
-1.87	-5.81934E-5
-1.86	-5.76056E-5
-1.85	-5.70229E-5
-1.84	-5.64454E-5
-1.83	-5.58729E-5
-1.82	-5.53054E-5
-1.81	-5.47428E-5
-1.8	-5.41851E-5
-1.79	-5.36323E-5
-1.78	-5.30842E-5
-1.77	-5.25409E-5
-1.76	-5.20023E-5
-1.75	-5.14683E-5
-1.74	-5.0939E-5
-1.73	-5.04141E-5
-1.72	-4.98937E-5
-1.71	-4.93778E-5
-1.7	-4.88663E-5
-1.69	-4.83592E-5
-1.68	-4.78563E-5
-1.67	-4.73577E-5
-1.66	-4.68634E-5
-1.65	-4.63732E-5
-1.64	-4.58871E-5
-1.63	-4.54051E-5
-1.62	-4.49272E-5
-1.61	-4.44532E-5
-1.6	-4.39832E-5
-1.59	-4.35172E-5
-1.58	-4.3055E-5
-1.57	-4.25966E-5
-1.56	-4.21421E-5
-1.55	-4.16912E-5
-1.54	-4.12441E-5
-1.53	-4.08007E-5
-1.52	-4.03609E-5
-1.51	-3.99248E-5
-1.5	-3.94921E-5
-1.49	-3.9063E-5
-1.48	-3.86374E-5
-1.47	-3.82153E-5
-1.46	-3.77965E-5
-1.45	-3.73811E-5
-1.44	-3.69691E-5
-1.43	-3.65604E-5
-1.42	-3.6155E-5
-1.41	-3.57528E-5
-1.4	-3.47986E-5
-1.39	-3.4958E-5
-1.38	-3.45653E-5
-1.37	-3.41757E-5
-1.36	-3.37892E-5
-1.35	-3.34057E-5
-1.34	-3.30253E-5
-1.33	-3.26478E-5
-1.32	-3.22733E-5
-1.31	-3.19017E-5
-1.3	-3.1533E-5
-1.29	-3.11671E-5
-1.28	-3.08041E-5
-1.27	-3.04439E-5
-1.26	-3.00864E-5
-1.25	-2.97317E-5
-1.24	-2.93797E-5
-1.23	-2.90304E-5
-1.22	-2.86837E-5
-1.21	-2.83397E-5
-1.2	-2.79983E-5
-1.19	-2.76594E-5
-1.18	-2.73231E-5
-1.17	-2.69894E-5
-1.16	-2.66581E-5
-1.15	-2.58894E-5
-1.14	-2.6003E-5
-1.13	-2.56791E-5
-1.12	-2.53575E-5
-1.11	-2.50384E-5
-1.1	-2.47216E-5
-1.09	-2.44072E-5
-1.08	-2.4095E-5
-1.07	-2.37851E-5
-1.06	-2.34775E-5
-1.05	-2.31721E-5
-1.04	-2.2869E-5
-1.03	-2.2568E-5
-1.02	-2.22692E-5
-1.01	-2.19725E-5
-1	-2.1678E-5
-0.99	-2.13831E-5
-0.98	-2.10904E-5
-0.97	-2.07998E-5
-0.96	-2.05112E-5
-0.95	-2.02247E-5
-0.94	-1.99402E-5
-0.93	-1.96577E-5
-0.92	-1.93772E-5
-0.91	-1.90987E-5
-0.9	-1.88221E-5
-0.89	-1.85475E-5
-0.88	-1.82748E-5
-0.87	-1.80039E-5
-0.86	-1.7735E-5
-0.85	-1.74679E-5
-0.84	-1.72026E-5
-0.83	-1.69392E-5
-0.82	-1.66776E-5
-0.81	-1.64177E-5
-0.8	-1.61597E-5
-0.79	-1.59034E-5
-0.78	-1.56488E-5
-0.77	-1.53959E-5
-0.76	-1.51448E-5
-0.75	-1.48953E-5
-0.74	-1.46475E-5
-0.73	-1.44013E-5
-0.72	-1.41568E-5
-0.71	-1.39139E-5
-0.7	-1.36727E-5
-0.69	-1.3433E-5
-0.68	-1.31948E-5
-0.67	-1.29583E-5
-0.66	-1.27233E-5
-0.65	-1.24898E-5
