-251.1259	-647.246
-244.08676	-518.2335
-236.76948	-433.094
-229.1352	-352.1105
-221.23872	-272.95
-212.9873	-202.54
-204.42486	-148.371
-195.54268	-105.532
-186.3154	-76.038
-176.82434	-50.886
-167.00572	-30.3295
-156.91448	-18.901
-146.55296	-11.0605
-135.97094	-6.304
-125.21634	-2.5525
-114.30138	-1.4465
-103.26784	-2.4185
-92.20062	-0.998
-81.18452	-2.1585
-70.29354	-0.423
-59.62518	-0.387
-49.26998	-0.3515
-39.40432	-0.945
-30.12788	-1.6645
-21.62404	-0.872
-14.03302	-2.284
-7.56596	-1.178
-2.436	-0.5125
1.11458	-0.789
-1.11458	-0.91506
2.436	0.05455
7.56596	-0.61084
14.02596	-1.08793
21.62404	-1.12333
30.12788	-0.0273
39.40432	-0.50385
49.28011	0.21557
59.62517	-0.95285
70.29354	-1.68118
81.18451	-1.21354
92.20062	1.39425
103.26784	-0.02596
114.2904	0.50462
125.21634	-0.85318
135.97095	0.74643
146.55295	1.08818
156.90425	0.42277
167.00572	-0.6827
176.834	0.10073
186.33412	1.19729
195.54268	1.41367
204.42487	2.0072
212.99569	1.78297
221.23064	2.31302
229.14297	1.77246
236.76948	3.05892
244.0796	3.9037
251.11902	3.80589
257.86287	4.71415
264.33061	8.51739
270.55321	8.85965
276.52957	9.70551
282.26052	10.80207
287.77531	14.47994
293.0689	18.15677
298.17804	23.97534
303.09633	29.03856
307.82806	34.73071
312.3907	42.62649
316.77358	53.41619
321.00502	66.53595
325.0773	79.78107
329.01073	98.62997
332.78178	119.67985
336.4132	144.25521
339.91427	177.45577
343.2667	207.88508
346.49345	238.56779
